127.0.0.1 - - [23/Mar/2023:06:35:19 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [23/Mar/2023:06:35:20 +0530] "GET /test/reqs.jsp HTTP/1.1" 200 12552
0:0:0:0:0:0:0:1 - - [23/Mar/2023:06:35:20 +0530] "GET /test/styles.css HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [23/Mar/2023:06:35:20 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [23/Mar/2023:06:35:24 +0530] "GET /test/home.html HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [23/Mar/2023:06:35:31 +0530] "GET /test/particreg.html HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [23/Mar/2023:06:35:37 +0530] "GET /test/feedback.html HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [23/Mar/2023:06:40:49 +0530] "GET /test/reqs.jsp HTTP/1.1" 200 12552
0:0:0:0:0:0:0:1 - - [23/Mar/2023:06:40:49 +0530] "GET /test/styles.css HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [23/Mar/2023:06:40:50 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [23/Mar/2023:06:40:51 +0530] "GET /test/home.html HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [23/Mar/2023:06:40:56 +0530] "GET /test/particreg.html HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [23/Mar/2023:07:29:52 +0530] "GET /test/ HTTP/1.1" 200 12552
0:0:0:0:0:0:0:1 - - [23/Mar/2023:07:29:52 +0530] "GET /test/styles.css HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [23/Mar/2023:07:29:52 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [23/Mar/2023:07:29:57 +0530] "GET /test/particreg.html HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [23/Mar/2023:07:30:16 +0530] "GET /test/ HTTP/1.1" 200 12552
0:0:0:0:0:0:0:1 - - [23/Mar/2023:07:30:16 +0530] "GET /test/styles.css HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [23/Mar/2023:07:30:34 +0530] "GET /test/particreg.html HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [23/Mar/2023:07:41:16 +0530] "GET /test/ HTTP/1.1" 200 12552
0:0:0:0:0:0:0:1 - - [23/Mar/2023:07:41:16 +0530] "GET /test/styles.css HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [23/Mar/2023:07:47:17 +0530] "GET /test/welcome.jsp HTTP/1.1" 200 4189
0:0:0:0:0:0:0:1 - - [23/Mar/2023:07:47:17 +0530] "GET /test/home.css HTTP/1.1" 404 768
0:0:0:0:0:0:0:1 - - [23/Mar/2023:07:52:42 +0530] "GET /test/welcome.jsp HTTP/1.1" 200 9067
0:0:0:0:0:0:0:1 - - [23/Mar/2023:07:52:42 +0530] "GET /test/home.css HTTP/1.1" 404 768
0:0:0:0:0:0:0:1 - - [23/Mar/2023:07:52:42 +0530] "GET /test/image1.jpg HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [23/Mar/2023:07:52:42 +0530] "GET /test/image4.jpg HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [23/Mar/2023:07:52:42 +0530] "GET /test/... HTTP/1.1" 404 763
